name,rating,studio,genre,actor1,actor2,actor3,writer,director,date,origin,metascore,Worldwide Gross
Speed,R,Twentieth Century Fox Film Corporation,Action,Keanu Reeves,Dennis Hopper,Sandra Bullock,Graham Yost,Jan de Bont,2002,USA,78,283200000
Wedding Crashers,R,New Line Cinema,Comedy,Owen Wilson,Vince Vaughn,Rachel McAdams,Steve Faber,David Dobkin,2006,USA,64,282718368
The Polar Express,G,Warner Bros.,Animation,Tom Hanks,Leslie Harter Zemeckis,Eddie Deezen,Robert Zemeckis,Robert Zemeckis,2005,USA,61,277810096
American Pie 2,R,Universal Pictures,Comedy,Jason Biggs,Tara Reid,Chris Klein,Adam Herz,James B. Rogers,2002,USA,43,276400000
What Lies Beneath,PG,DreamWorks,Suspense/Thriller,Harrison Ford,Michelle Pfeiffer,Diana Scarwid,Sarah Kernochan,Robert Zemeckis,2001,USA,51,275500000
Van Helsing,PG,Universal Pictures,Action,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,Stephen Sommers,Stephen Sommers,2004,USA,36,275025245
Spirited Away,PG,Walt Disney Pictures / Buena Vista Pictures,Fantasy,Daveigh Chase,Michael Chiklis,Susan Egan,Hayao Miyazaki,Hayao Miyazaki,2003,Japan,94,274949886
Jerry Maguire,R,Sony/TriStar,Romance,Tom Cruise,Cuba Gooding Jr.,Rene Zellweger,Cameron Crowe,Cameron Crowe,1997,USA,77,273600000
The Silence of the Lambs,R,Orion Pictures Corporation,Suspense/Thriller,Anthony Hopkins,Jodie Foster,Ted Levine,Thomas Harris,Jonathan Demme,1998,USA,84,272700000
The Bourne Supremacy,PG,Universal Pictures,Action,Matt Damon,Franka Potente,Brian Cox,Tony Gilroy,Paul Greengrass,2004,USA,73,272549130
The Nutty Professor,PG,Universal Pictures,Comedy,Eddie Murphy,Jada Pinkett Smith,James Coburn,David Sheffield & Barry W. Blaustein,Tom Shadyac,2005,USA,62,269300000
Scooby-Doo,PG,Warner Bros.,Family/Kids,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,James Gunn,Raja Gosnell,2002,USA / Australia,35,267600000
XXX,PG,Sony Pictures Entertainment / Columbia Pictures,Suspense/Thriller,Vin Diesel,Samuel L. Jackson,Asia Argento,Rich Wilkes,Rob Cohen,2002,Czech Republic / USA,48,267200000
Indecent Proposal,R,Paramount Pictures,Drama,Robert Redford,Demi Moore,Woody Harrelson,Amy Holden Jones,Adrian Lyne,2002,USA,35,266600000
Jumanji,PG,TriStar Pictures,Action,Robin Williams,Jonathan Hyde,Kirsten Dunst,Jonathan Hensleigh,Joe Johnston,2003,USA,39,264600000
The Fifth Element,PG,Columbia Pictures,Sci-fi,Bruce Willis,Gary Oldman,Ian Holm,Luc Besson,Luc Besson,1997,USA,52,263600000
Lilo & Stitch,PG,Walt Disney Pictures,Family/Kids,Daveigh Chase,Jason Scott Lee,Tia Carrere,Chris Sanders,Dean Deblois,2002,USA,73,262700000
The Firm,R,Paramount Pictures,Drama,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,David Rabe,Sydney Pollack,2000,USA,58,262300000
Bad Boys II,R,Sony Pictures Entertainment / Columbia Pictures,Suspense/Thriller,Martin Lawrence,Will Smith,Gabrielle Union,Ron Shelton,Michael Bay,2003,USA,38,261900000
Total Recall,R,TriStar Pictures,Suspense/Thriller,Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,Philip K. Dick,Paul Verhoeven,2001,USA,57,261400000
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,Twentieth Century-Fox Film Corporation,Comedy,Sacha Baron Cohen,Pamela Anderson,Ken Davitian,Sacha Baron Cohen,Larry Charles,2007,USA,89,260405958
Scary Movie,R,Dimension Films,Mystery,Carmen Electra,Shannon Elizabeth,Marlon Wayans,Phil Beauman,Keenen Ivory Wayans,2000,USA,48,259900000
Charlie's Angels,PG,Columbia Pictures,Comedy,Cameron Diaz,Drew Barrymore,Lucy Liu,Ivan Goff,McG (Joseph McGinty Nichol),2001,USA,52,258500000
The Full Monty,R,20th Century Fox,Comedy,Robert Carlyle,Mark Addy,William Snape,Simon Beaufoy,Peter Cattaneo,1999,UK,75,256900000
Erin Brockovich,R,Universal Pictures,Drama,Julia Roberts,Albert Finney,Aaron Eckhart,Susannah Grant,Steven Soderbergh,2000,USA,73,256500000
Waterworld,PG,MCA / Universal Pictures,Sci-fi,Kevin Costner,Chaim Girafi,Jeanne Tripplehorn,Peter Rader,Kevin Reynolds,1997,USA,56,255200000
Cliffhanger,R,TriStar Pictures,Action,Sylvester Stallone,John Lithgow,Michael Rooker,Michael France,Renny Harlin,2000,USA,60,255000000
Bridget Jones's Diary,R,Miramax Films,Romance,Rene Zellweger,Colin Firth,Hugh Grant,Richard Curtis,Sharon Maguire,2001,UK / USA,66,254400000
Charlie's Angels: Full Throttle,PG,Sony Pictures Entertainment,Action,Cameron Diaz,Drew Barrymore,Lucy Liu,John August,McG,2003,USA,48,252500000
Lara Croft: Tomb Raider,PG,Paramount Pictures,Mystery,Angelina Jolie,Daniel Craig,Leslie Phillips,Patrick Massett,Simon West,2001,UK / USA,33,251600000
You've Got Mail,PG,Warner Bros.,Romance,Tom Hanks,Meg Ryan,Greg Kinnear,Nora Ephron,Nora Ephron,1999,USA,57,250700000
The Truman Show,PG,Paramount Pictures,Fantasy,Jim Carrey,Laura Linney,Noah Emmerich,Andrew Niccol,Peter Weir,1999,USA,90,249200000
Babe,G,Universal Pictures,Family/Kids,Christine Cavanaugh,James Cromwell,Magda Szubanski,Chris Noonan,Chris Noonan,1999,Australia / USA,83,249000000
Unbreakable,PG,Buena Vista Pictures,Suspense/Thriller,Bruce Willis,Samuel L. Jackson,Robin Wright Penn,M. Night Shyamalan,M. Night Shyamalan,2001,USA,62,248900000
Robots,PG,Twentieth Century Fox Film Corp.,Animation,Ewan McGregor,Halle Berry,Greg Kinnear,Lowell Ganz,Chris Wedge,2005,USA,64,245600000
Eragon,PG,Fox 2000 Pictures,Action,Edward Speleers,Sienna Guillory,Garrett Hedlund,Peter Buchman,Stefen Fangmeier,2007,USA,38,245230163
Rush Hour,PG,New Line Cinema,Comedy,Jackie Chan,Chris Tucker,Tom Wilkinson,Ross LaManna,Brett Ratner,2001,USA,60,245200000
Enemy of the State,R,Buena Vista Pictures,Suspense/Thriller,Will Smith,Gene Hackman,Jon Voight,David Marconi,Tony Scott,2002,USA,67,245100000
The Godfather,R,Paramount Pictures,Drama,Marlon Brando,Al Pacino,John Cazale,Mario Puzo,Francis Ford Coppola,2001,USA,100,244900000
Four Weddings and a Funeral,R,PolyGram Filmed Entertainment,Romance,Hugh Grant,James Fleet,Simon Callow,Richard Curtis,Mike Newell,1999,UK,81,244100000
Wild Hogs,PG,Touchstone Pictures,Adventure,Tim Allen,John Travolta,Martin Lawrence,Brad Copeland,Walt Becker,2007,USA,27,243213584
