Date,Open,High,Low,Close,Volume,Adj Close
10/04/2007,6096.1,6169,6096.1,6169,677889700,6169
5/04/2007,6105.2,6105.2,6078,6089.9,691127700,6089.9
4/04/2007,6038.3,6108.4,6038.3,6108.4,768854800,6108.4
3/04/2007,5942.6,6024.2,5942.4,6024.2,694032100,6024.2
2/04/2007,6005.5,6005.5,5928.9,5928.9,636785800,5928.9
30/03/2007,5980.6,6010,5980.6,6006.2,930285000,6006.2
29/03/2007,5932.4,5973.3,5918.4,5973.3,899254100,5973.3
28/03/2007,5970.9,5991.1,5930.2,5936.2,780417900,5936.2
27/03/2007,5996.9,5999.7,5975.3,5976.2,717919100,5976.2
26/03/2007,5969.7,6002.3,5968.8,6001.1,628693300,6001.1
23/03/2007,5965.2,5978.2,5949.6,5963.3,723334700,5963.3
22/03/2007,5890.5,5966.6,5890.5,5966.6,782423000,5966.6
21/03/2007,5893.9,5918.7,5872.5,5873.8,641639700,5873.8
20/03/2007,5881.3,5931.4,5881.3,5887.6,571519500,5887.6
19/03/2007,5849.1,5884.6,5830,5869.8,473383400,5869.8
16/03/2007,5871.1,5884,5825.2,5846.9,771631500,5846.9
15/03/2007,5780.1,5866.6,5774.8,5862.3,1013520400,5862.3
14/03/2007,5847.4,5847.4,5752.8,5752.8,671778400,5752.8
13/03/2007,5902.2,5927,5870.9,5874.9,656040100,5874.9
12/03/2007,5837.4,5899.9,5829.8,5899.9,589844100,5899.9
9/03/2007,5836.3,5861.4,5830,5839.6,712719100,5839.6
8/03/2007,5829.6,5835.8,5784.6,5831.1,667564200,5831.1
7/03/2007,5786.3,5838.8,5786.3,5834.6,744044600,5834.6
6/03/2007,5666.7,5780.3,5649.8,5780.3,827768100,5780.3
5/03/2007,5783.4,5783.4,5663.3,5663.3,900353300,5663.3
2/03/2007,5816.2,5836.8,5792.1,5797.2,701365600,5797.2
1/03/2007,5850.8,5869.9,5809.2,5821.7,774205400,5821.7
28/02/2007,6003.6,6003.6,5794.3,5842.9,1041811500,5842.9
27/02/2007,6052.5,6052.5,6004.9,6004.9,742403700,6004.9
26/02/2007,6045.3,6053.1,6018.1,6053.1,820918900,6053.1
23/02/2007,6028.5,6061.2,6028.1,6044.8,1043390500,6044.8
22/02/2007,5962.9,6026,5962.2,6026,976596100,6026
21/02/2007,5991.1,6001.2,5960.6,5961.3,698650000,5961.3
20/02/2007,6004.4,6012.5,5989.6,5999.3,563128400,5999.3
19/02/2007,5966.6,6012.2,5960.4,5999.5,452802900,5999.5
16/02/2007,6002.3,6003.5,5950.4,5963.4,700201200,5963.4
15/02/2007,5978.8,6009.1,5977.7,6002,814116900,6002
14/02/2007,5956,5984.3,5956,5969.7,711506800,5969.7
13/02/2007,5930.2,5955.2,5919.9,5944.9,651308200,5944.9
12/02/2007,5929.6,5943.1,5913.9,5932.7,636626100,5932.7
9/02/2007,5913.2,5935,5902.9,5935,727918000,5935
8/02/2007,5909.5,5916.9,5892.5,5907.3,752143600,5907.3
7/02/2007,5909.4,5916.9,5887.5,5906.9,815769600,5906.9
6/02/2007,5838.4,5879.8,5838.4,5878.8,788907400,5878.8
5/02/2007,5838,5839,5811.2,5831.9,667654400,5831.9
2/02/2007,5838.2,5850.9,5826.9,5841.7,724592100,5841.7
1/02/2007,5791.4,5826.2,5791.4,5824.1,852360700,5824.1
31/01/2007,5828.4,5838.4,5783.6,5783.6,775708100,5783.6
30/01/2007,5766.2,5822.2,5765.7,5821.8,781875100,5821.8
29/01/2007,5781.4,5786,5762.1,5770,649494800,5770
25/01/2007,5790,5810.5,5778.8,5778.8,867509100,5778.8
24/01/2007,5758.4,5784.5,5751.6,5777.4,774979100,5777.4
23/01/2007,5731.2,5746.4,5711.1,5743.6,541016300,5743.6
22/01/2007,5696.2,5747.3,5696.2,5734.5,609031700,5734.5
19/01/2007,5677.1,5681,5649.9,5681,657752100,5681
